entry,at,order
"The admin updated the player ""damo @ VUdv-wN0K4"" stack from 10980 to 1000.",2023-08-02T23:38:16.600Z,169101949660001
"WARNING: the admin queued the stack change for the player ""damo @ VUdv-wN0K4"" reseting to 1000 chips in the next hand.",2023-08-02T23:38:16.600Z,169101949660000
"The player ""BEEP @ 9gQ_8P10M1"" quits the game with a stack of 0.",2023-08-02T23:37:05.764Z,169101942576401
"The player ""flypto @ 7TP78l9kGR"" quits the game with a stack of 0.",2023-08-02T23:37:05.764Z,169101942576400
"-- ending hand #1641 --",2023-08-02T23:36:59.758Z,169101941975805
"""BEEP @ 9gQ_8P10M1"" shows a 9♠, K♠.",2023-08-02T23:36:59.758Z,169101941975804
"""damo @ VUdv-wN0K4"" collected 1708 from pot with Straight, A High (combination: A♦, K♥, Q♣, J♦, 10♠)",2023-08-02T23:36:59.758Z,169101941975803
"""flypto @ 7TP78l9kGR"" shows a Q♦, 6♣.",2023-08-02T23:36:59.758Z,169101941975802
"""damo @ VUdv-wN0K4"" collected 3000 from pot with Straight, A High (combination: A♦, K♥, Q♣, J♦, 10♠)",2023-08-02T23:36:59.758Z,169101941975801
"""damo @ VUdv-wN0K4"" shows a 4♠, A♦.",2023-08-02T23:36:59.758Z,169101941975800
"""damo @ VUdv-wN0K4"" calls 454",2023-08-02T23:36:58.928Z,169101941892800
"""flypto @ 7TP78l9kGR"" bets 454 and go all in",2023-08-02T23:36:57.071Z,169101941707100
"River: 10♠, J♦, Q♣, K♥ [2♥]",2023-08-02T23:36:53.635Z,169101941363500
"""flypto @ 7TP78l9kGR"" calls 1200",2023-08-02T23:36:52.799Z,169101941279900
"""BEEP @ 9gQ_8P10M1"" calls 800 and go all in",2023-08-02T23:36:51.892Z,169101941189200
"""damo @ VUdv-wN0K4"" raises to 1200",2023-08-02T23:36:50.845Z,169101941084500
"""flypto @ 7TP78l9kGR"" calls 360",2023-08-02T23:36:46.891Z,169101940689100
"""BEEP @ 9gQ_8P10M1"" bets 360",2023-08-02T23:36:44.209Z,169101940420900
"Turn: 10♠, J♦, Q♣ [K♥]",2023-08-02T23:36:25.467Z,169101938546700
"""damo @ VUdv-wN0K4"" calls 120",2023-08-02T23:36:24.644Z,169101938464400
"""flypto @ 7TP78l9kGR"" calls 120",2023-08-02T23:36:23.684Z,169101938368400
"""BEEP @ 9gQ_8P10M1"" bets 120",2023-08-02T23:36:20.488Z,169101938048800
"Flop:  [10♠, J♦, Q♣]",2023-08-02T23:36:17.249Z,169101937724900
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:36:16.410Z,169101937641000
"""BEEP @ 9gQ_8P10M1"" calls 80",2023-08-02T23:36:15.497Z,169101937549700
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:36:14.419Z,169101937441900
"""flypto @ 7TP78l9kGR"" posts a big blind of 20",2023-08-02T23:36:12.642Z,169101937264207
"""BEEP @ 9gQ_8P10M1"" posts a small blind of 10",2023-08-02T23:36:12.642Z,169101937264206
"Your hand is Q♦, 6♣",2023-08-02T23:36:12.642Z,169101937264203
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1854) | #5 ""damo @ VUdv-wN0K4"" (8126) | #8 ""BEEP @ 9gQ_8P10M1"" (1000)",2023-08-02T23:36:12.642Z,169101937264202
"-- starting hand #1641 (id: zijiem1l2wbf)  (No Limit Texas Hold'em) (dealer: ""damo @ VUdv-wN0K4"") --",2023-08-02T23:36:12.642Z,169101937264201
"The player ""BEEP @ 9gQ_8P10M1"" joined the game with a stack of 1000.",2023-08-02T23:36:12.642Z,169101937264200
"""damo @ VUdv-wN0K4"" shows a 2♣, 9♣.",2023-08-02T23:36:07.446Z,169101936744600
"Undealt cards: 8♣, 10♣, 10♥, 7♦ [A♦]",2023-08-02T23:36:06.883Z,169101936688300
"-- ending hand #1640 --",2023-08-02T23:36:06.038Z,169101936603802
"""damo @ VUdv-wN0K4"" collected 300 from pot",2023-08-02T23:36:06.038Z,169101936603801
"Uncalled bet of 225 returned to ""damo @ VUdv-wN0K4""",2023-08-02T23:36:06.038Z,169101936603800
"""flypto @ 7TP78l9kGR"" folds",2023-08-02T23:36:05.197Z,169101936519700
"""damo @ VUdv-wN0K4"" bets 225",2023-08-02T23:35:59.612Z,169101935961200
"Turn: 8♣, 10♣, 10♥ [7♦]",2023-08-02T23:35:57.829Z,169101935782900
"""flypto @ 7TP78l9kGR"" calls 90",2023-08-02T23:35:57.001Z,169101935700100
"""damo @ VUdv-wN0K4"" bets 90",2023-08-02T23:35:55.994Z,169101935599400
"Flop:  [8♣, 10♣, 10♥]",2023-08-02T23:35:53.161Z,169101935316100
"""damo @ VUdv-wN0K4"" calls 60",2023-08-02T23:35:52.288Z,169101935228800
"""flypto @ 7TP78l9kGR"" raises to 60",2023-08-02T23:35:50.379Z,169101935037900
"The admin approved the player ""BEEP @ 9gQ_8P10M1"" participation with a stack of 1000.",2023-08-02T23:35:48.744Z,169101934874400
"The player ""BEEP @ 9gQ_8P10M1"" requested a seat.",2023-08-02T23:35:46.552Z,169101934655200
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:35:41.610Z,169101934161006
"""flypto @ 7TP78l9kGR"" posts a small blind of 10",2023-08-02T23:35:41.610Z,169101934161005
"Your hand is Q♣, 4♥",2023-08-02T23:35:41.610Z,169101934161003
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (2004) | #5 ""damo @ VUdv-wN0K4"" (7976)",2023-08-02T23:35:41.610Z,169101934161002
"-- starting hand #1640 (id: gwbpweg9n95e)  (No Limit Texas Hold'em) (dealer: ""flypto @ 7TP78l9kGR"") --",2023-08-02T23:35:41.610Z,169101934161001
"The player ""BEEP @ 9gQ_8P10M1"" quits the game with a stack of 0.",2023-08-02T23:35:41.610Z,169101934161000
"-- ending hand #1639 --",2023-08-02T23:35:35.605Z,169101933560502
"""damo @ VUdv-wN0K4"" collected 544 from pot with K High (combination: K♥, J♣, 9♠, 8♥, 7♣)",2023-08-02T23:35:35.605Z,169101933560501
"""flypto @ 7TP78l9kGR"" collected 2004 from pot with Pair, 8's (combination: 8♣, 8♥, K♥, J♣, 6♥)",2023-08-02T23:35:35.605Z,169101933560500
"River: 6♥, 4♦, 8♥, J♣ [K♥]",2023-08-02T23:35:31.589Z,169101933158900
"Turn: 6♥, 4♦, 8♥ [J♣]",2023-08-02T23:35:27.569Z,169101932756900
"""BEEP @ 9gQ_8P10M1"" shows a 2♦, 3♣.",2023-08-02T23:35:23.541Z,169101932354102
"""damo @ VUdv-wN0K4"" shows a 9♠, 7♣.",2023-08-02T23:35:23.541Z,169101932354101
"""flypto @ 7TP78l9kGR"" shows a 2♣, 8♣.",2023-08-02T23:35:23.541Z,169101932354100
"Some players choose to not run it twice.",2023-08-02T23:35:22.713Z,169101932271301
"""damo @ VUdv-wN0K4"" chooses to not run it twice.",2023-08-02T23:35:22.713Z,169101932271300
"""flypto @ 7TP78l9kGR"" chooses to  run it twice.",2023-08-02T23:35:22.584Z,169101932258400
"""BEEP @ 9gQ_8P10M1"" chooses to  run it twice.",2023-08-02T23:35:22.297Z,169101932229700
"Remaining players decide whether to run it twice.",2023-08-02T23:35:20.894Z,169101932089401
"""damo @ VUdv-wN0K4"" calls 880",2023-08-02T23:35:20.894Z,169101932089400
"""flypto @ 7TP78l9kGR"" calls 608 and go all in",2023-08-02T23:35:19.891Z,169101931989100
"""BEEP @ 9gQ_8P10M1"" raises to 880 and go all in",2023-08-02T23:35:17.960Z,169101931796000
"""damo @ VUdv-wN0K4"" raises to 250",2023-08-02T23:35:14.401Z,169101931440100
"""flypto @ 7TP78l9kGR"" bets 80",2023-08-02T23:35:11.584Z,169101931158400
"Flop:  [6♥, 4♦, 8♥]",2023-08-02T23:35:01.908Z,169101930190800
"""flypto @ 7TP78l9kGR"" calls 60",2023-08-02T23:35:01.074Z,169101930107400
"""BEEP @ 9gQ_8P10M1"" calls 60",2023-08-02T23:34:59.029Z,169101929902900
"""damo @ VUdv-wN0K4"" raises to 60",2023-08-02T23:34:57.975Z,169101929797500
"""flypto @ 7TP78l9kGR"" calls 20",2023-08-02T23:34:55.791Z,169101929579100
"""BEEP @ 9gQ_8P10M1"" calls 20",2023-08-02T23:34:51.045Z,169101929104500
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:34:47.855Z,169101928785506
"""flypto @ 7TP78l9kGR"" posts a small blind of 10",2023-08-02T23:34:47.855Z,169101928785505
"Your hand is 2♣, 8♣",2023-08-02T23:34:47.855Z,169101928785502
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (668) | #5 ""damo @ VUdv-wN0K4"" (8372) | #8 ""BEEP @ 9gQ_8P10M1"" (940)",2023-08-02T23:34:47.855Z,169101928785501
"-- starting hand #1639 (id: 7mrwpguihg4i)  (No Limit Texas Hold'em) (dealer: ""BEEP @ 9gQ_8P10M1"") --",2023-08-02T23:34:47.855Z,169101928785500
"-- ending hand #1638 --",2023-08-02T23:34:41.813Z,169101928181303
"""flypto @ 7TP78l9kGR"" shows a 4♦, Q♥.",2023-08-02T23:34:41.813Z,169101928181302
"""damo @ VUdv-wN0K4"" collected 600 from pot with Flush, Ad High (combination: A♦, J♦, 9♦, 7♦, 3♦)",2023-08-02T23:34:41.813Z,169101928181301
"""damo @ VUdv-wN0K4"" shows a 9♦, 6♣.",2023-08-02T23:34:41.813Z,169101928181300
"""damo @ VUdv-wN0K4"" calls 150",2023-08-02T23:34:40.938Z,169101928093800
"""flypto @ 7TP78l9kGR"" bets 150",2023-08-02T23:34:34.854Z,169101927485400
"River: J♦, 7♦, 4♠, 3♦ [A♦]",2023-08-02T23:34:27.233Z,169101926723300
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:34:26.394Z,169101926639400
"""flypto @ 7TP78l9kGR"" checks",2023-08-02T23:34:25.107Z,169101926510700
"Turn: J♦, 7♦, 4♠ [3♦]",2023-08-02T23:34:20.499Z,169101926049900
"""BEEP @ 9gQ_8P10M1"" folds",2023-08-02T23:34:19.669Z,169101925966900
"""damo @ VUdv-wN0K4"" calls 60",2023-08-02T23:34:17.255Z,169101925725500
"""flypto @ 7TP78l9kGR"" bets 60",2023-08-02T23:34:16.264Z,169101925626400
"""BEEP @ 9gQ_8P10M1"" checks",2023-08-02T23:34:13.182Z,169101925318200
"Flop:  [J♦, 7♦, 4♠]",2023-08-02T23:34:11.172Z,169101925117200
"""flypto @ 7TP78l9kGR"" calls 60",2023-08-02T23:34:10.325Z,169101925032500
"""BEEP @ 9gQ_8P10M1"" calls 60",2023-08-02T23:34:09.405Z,169101924940500
"""damo @ VUdv-wN0K4"" raises to 60",2023-08-02T23:34:08.440Z,169101924844000
"""flypto @ 7TP78l9kGR"" posts a big blind of 20",2023-08-02T23:34:06.370Z,169101924637007
"""BEEP @ 9gQ_8P10M1"" posts a small blind of 10",2023-08-02T23:34:06.370Z,169101924637006
"Your hand is 4♦, Q♥",2023-08-02T23:34:06.370Z,169101924637003
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (938) | #5 ""damo @ VUdv-wN0K4"" (8042) | #8 ""BEEP @ 9gQ_8P10M1"" (1000)",2023-08-02T23:34:06.370Z,169101924637002
"-- starting hand #1638 (id: ifoawb8u5m9n)  (No Limit Texas Hold'em) (dealer: ""damo @ VUdv-wN0K4"") --",2023-08-02T23:34:06.370Z,169101924637001
"The player ""BEEP @ 9gQ_8P10M1"" joined the game with a stack of 1000.",2023-08-02T23:34:06.370Z,169101924637000
"The admin approved the player ""BEEP @ 9gQ_8P10M1"" participation with a stack of 1000.",2023-08-02T23:34:04.398Z,169101924439800
"The player ""BEEP @ 9gQ_8P10M1"" requested a seat.",2023-08-02T23:34:01.966Z,169101924196600
"Undealt cards:  [9♥, Q♥, A♣, K♦, 5♦]",2023-08-02T23:34:01.844Z,169101924184400
"-- ending hand #1637 --",2023-08-02T23:34:00.407Z,169101924040702
"""damo @ VUdv-wN0K4"" collected 20 from pot",2023-08-02T23:34:00.407Z,169101924040701
"Uncalled bet of 10 returned to ""damo @ VUdv-wN0K4""",2023-08-02T23:34:00.407Z,169101924040700
"""flypto @ 7TP78l9kGR"" folds",2023-08-02T23:33:59.582Z,169101923958200
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:33:57.364Z,169101923736406
"""flypto @ 7TP78l9kGR"" posts a small blind of 10",2023-08-02T23:33:57.364Z,169101923736405
"Your hand is 6♦, 3♣",2023-08-02T23:33:57.364Z,169101923736403
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (948) | #5 ""damo @ VUdv-wN0K4"" (8032)",2023-08-02T23:33:57.364Z,169101923736402
"-- starting hand #1637 (id: oowzgy3n7jhf)  (No Limit Texas Hold'em) (dealer: ""flypto @ 7TP78l9kGR"") --",2023-08-02T23:33:57.364Z,169101923736401
"The player ""BEEP @ 9gQ_8P10M1"" quits the game with a stack of 0.",2023-08-02T23:33:57.364Z,169101923736400
"-- ending hand #1636 --",2023-08-02T23:33:51.353Z,169101923135303
"""BEEP @ 9gQ_8P10M1"" shows a J♠, 4♣.",2023-08-02T23:33:51.353Z,169101923135302
"""damo @ VUdv-wN0K4"" collected 2080 from pot with Two Pair, A's & K's (combination: A♣, A♦, K♦, K♣, Q♠)",2023-08-02T23:33:51.353Z,169101923135301
"""damo @ VUdv-wN0K4"" shows a K♦, A♣.",2023-08-02T23:33:51.353Z,169101923135300
"""damo @ VUdv-wN0K4"" calls 560",2023-08-02T23:33:50.499Z,169101923049900
"""BEEP @ 9gQ_8P10M1"" bets 560 and go all in",2023-08-02T23:33:49.338Z,169101922933800
"River: K♣, Q♠, 4♠, A♦ [6♦]",2023-08-02T23:33:46.528Z,169101922652800
"""damo @ VUdv-wN0K4"" calls 240",2023-08-02T23:33:45.675Z,169101922567500
"""BEEP @ 9gQ_8P10M1"" bets 240",2023-08-02T23:33:41.658Z,169101922165800
"Turn: K♣, Q♠, 4♠ [A♦]",2023-08-02T23:33:38.921Z,169101921892100
"""flypto @ 7TP78l9kGR"" folds",2023-08-02T23:33:38.092Z,169101921809200
"""BEEP @ 9gQ_8P10M1"" calls 120",2023-08-02T23:33:30.495Z,169101921049500
"""damo @ VUdv-wN0K4"" bets 120",2023-08-02T23:33:29.269Z,169101920926900
"""flypto @ 7TP78l9kGR"" checks",2023-08-02T23:33:27.139Z,169101920713900
"""BEEP @ 9gQ_8P10M1"" checks",2023-08-02T23:33:20.875Z,169101920087500
"Flop:  [K♣, Q♠, 4♠]",2023-08-02T23:33:19.236Z,169101919923600
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:33:18.422Z,169101919842200
"""BEEP @ 9gQ_8P10M1"" calls 80",2023-08-02T23:33:13.446Z,169101919344600
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:33:11.872Z,169101919187200
"""flypto @ 7TP78l9kGR"" posts a big blind of 20",2023-08-02T23:33:09.036Z,169101918903607
"""BEEP @ 9gQ_8P10M1"" posts a small blind of 10",2023-08-02T23:33:09.036Z,169101918903606
"Your hand is J♥, 8♣",2023-08-02T23:33:09.036Z,169101918903603
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1028) | #5 ""damo @ VUdv-wN0K4"" (6952) | #8 ""BEEP @ 9gQ_8P10M1"" (1000)",2023-08-02T23:33:09.036Z,169101918903602
"-- starting hand #1636 (id: ynis70wbiosp)  (No Limit Texas Hold'em) (dealer: ""damo @ VUdv-wN0K4"") --",2023-08-02T23:33:09.036Z,169101918903601
"The player ""BEEP @ 9gQ_8P10M1"" joined the game with a stack of 1000.",2023-08-02T23:33:09.036Z,169101918903600
"-- ending hand #1635 --",2023-08-02T23:33:03.009Z,169101918300904
"""damo @ VUdv-wN0K4"" collected 460 from pot with Two Pair, K's & 8's (combination: K♥, K♦, 8♣, 8♠, Q♣)",2023-08-02T23:33:03.009Z,169101918300903
"""damo @ VUdv-wN0K4"" shows a 10♠, K♥.",2023-08-02T23:33:03.009Z,169101918300902
"""flypto @ 7TP78l9kGR"" collected 460 from pot with Two Pair, K's & 8's (combination: K♣, K♦, 8♣, 8♠, Q♣)",2023-08-02T23:33:03.009Z,169101918300901
"""flypto @ 7TP78l9kGR"" shows a 9♥, K♣.",2023-08-02T23:33:03.009Z,169101918300900
"""damo @ VUdv-wN0K4"" calls 200",2023-08-02T23:33:02.194Z,169101918219400
"""flypto @ 7TP78l9kGR"" bets 200",2023-08-02T23:32:59.858Z,169101917985800
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:32:53.755Z,169101917375500
"River: 8♣, 4♠, Q♣, 8♠ [K♦]",2023-08-02T23:32:51.634Z,169101917163400
"""damo @ VUdv-wN0K4"" calls 100",2023-08-02T23:32:50.827Z,169101917082700
"""flypto @ 7TP78l9kGR"" bets 100",2023-08-02T23:32:48.531Z,169101916853100
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:32:42.192Z,169101916219200
"Turn: 8♣, 4♠, Q♣ [8♠]",2023-08-02T23:32:40.376Z,169101916037600
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:32:39.551Z,169101915955100
"""damo @ VUdv-wN0K4"" bets 80",2023-08-02T23:32:36.200Z,169101915620000
"The admin approved the player ""BEEP @ 9gQ_8P10M1"" participation with a stack of 1000.",2023-08-02T23:32:31.971Z,169101915197100
"Flop:  [8♣, 4♠, Q♣]",2023-08-02T23:32:30.163Z,169101915016300
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:32:29.296Z,169101914929600
"The player ""BEEP @ 9gQ_8P10M1"" requested a seat.",2023-08-02T23:32:28.277Z,169101914827700
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:32:27.473Z,169101914747300
"""flypto @ 7TP78l9kGR"" calls 20",2023-08-02T23:32:24.773Z,169101914477300
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:32:22.657Z,169101914265706
"""flypto @ 7TP78l9kGR"" posts a small blind of 10",2023-08-02T23:32:22.657Z,169101914265705
"Your hand is 9♥, K♣",2023-08-02T23:32:22.657Z,169101914265703
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1028) | #5 ""damo @ VUdv-wN0K4"" (6952)",2023-08-02T23:32:22.657Z,169101914265702
"-- starting hand #1635 (id: ia2a7piihrus)  (No Limit Texas Hold'em) (dealer: ""flypto @ 7TP78l9kGR"") --",2023-08-02T23:32:22.657Z,169101914265701
"The player ""BEEP @ 9gQ_8P10M1"" quits the game with a stack of 0.",2023-08-02T23:32:22.657Z,169101914265700
"-- ending hand #1634 --",2023-08-02T23:32:16.653Z,169101913665301
"""damo @ VUdv-wN0K4"" collected 2220 from pot with Two Pair, 6's & 3's (combination: 6♣, 6♠, 3♠, 3♦, A♣)",2023-08-02T23:32:16.653Z,169101913665300
"River: 8♦, 6♣, A♣, 10♣ [6♠]",2023-08-02T23:32:12.594Z,169101913259400
"Turn: 8♦, 6♣, A♣ [10♣]",2023-08-02T23:32:08.511Z,169101912851100
"Flop:  [8♦, 6♣, A♣]",2023-08-02T23:32:04.504Z,169101912450400
"Some players choose to not run it twice.",2023-08-02T23:31:59.677Z,169101911967701
"""damo @ VUdv-wN0K4"" chooses to not run it twice.",2023-08-02T23:31:59.677Z,169101911967700
"""BEEP @ 9gQ_8P10M1"" shows a 2♦, 2♠.",2023-08-02T23:31:59.612Z,169101911961200
"""damo @ VUdv-wN0K4"" shows a 3♠, 3♦.",2023-08-02T23:31:58.848Z,169101911884800
"""BEEP @ 9gQ_8P10M1"" chooses to  run it twice.",2023-08-02T23:31:58.262Z,169101911826200
"Remaining players decide whether to run it twice.",2023-08-02T23:31:56.298Z,169101911629801
"""BEEP @ 9gQ_8P10M1"" calls 1100 and go all in",2023-08-02T23:31:56.298Z,169101911629800
"""damo @ VUdv-wN0K4"" raises to 1100",2023-08-02T23:31:53.899Z,169101911389900
"""flypto @ 7TP78l9kGR"" folds",2023-08-02T23:31:49.083Z,169101910908300
"""BEEP @ 9gQ_8P10M1"" raises to 220",2023-08-02T23:31:45.931Z,169101910593100
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:31:43.485Z,169101910348500
"""flypto @ 7TP78l9kGR"" calls 20",2023-08-02T23:31:41.425Z,169101910142500
"""BEEP @ 9gQ_8P10M1"" calls 20",2023-08-02T23:31:40.058Z,169101910005800
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:31:37.521Z,169101909752106
"""flypto @ 7TP78l9kGR"" posts a small blind of 10",2023-08-02T23:31:37.521Z,169101909752105
"Your hand is 9♣, K♠",2023-08-02T23:31:37.521Z,169101909752102
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1048) | #5 ""damo @ VUdv-wN0K4"" (5832) | #8 ""BEEP @ 9gQ_8P10M1"" (1100)",2023-08-02T23:31:37.521Z,169101909752101
"-- starting hand #1634 (id: 1lkcormrpfzx)  (No Limit Texas Hold'em) (dealer: ""BEEP @ 9gQ_8P10M1"") --",2023-08-02T23:31:37.521Z,169101909752100
"-- ending hand #1633 --",2023-08-02T23:31:31.506Z,169101909150603
"""BEEP @ 9gQ_8P10M1"" shows a J♠, 5♣.",2023-08-02T23:31:31.506Z,169101909150602
"""damo @ VUdv-wN0K4"" collected 840 from pot with Pair, Q's (combination: Q♦, Q♠, A♣, K♥, 9♣)",2023-08-02T23:31:31.506Z,169101909150601
"""damo @ VUdv-wN0K4"" shows a 7♦, A♣.",2023-08-02T23:31:31.506Z,169101909150600
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:31:30.698Z,169101909069800
"""BEEP @ 9gQ_8P10M1"" checks",2023-08-02T23:31:29.633Z,169101908963300
"River: Q♦, 9♣, 6♣, K♥ [Q♠]",2023-08-02T23:31:26.989Z,169101908698900
"""flypto @ 7TP78l9kGR"" folds",2023-08-02T23:31:26.083Z,169101908608300
"""BEEP @ 9gQ_8P10M1"" calls 210",2023-08-02T23:31:25.161Z,169101908516100
"""damo @ VUdv-wN0K4"" bets 210",2023-08-02T23:31:23.869Z,169101908386900
"""flypto @ 7TP78l9kGR"" checks",2023-08-02T23:31:20.332Z,169101908033200
"""BEEP @ 9gQ_8P10M1"" checks",2023-08-02T23:31:15.195Z,169101907519500
"Turn: Q♦, 9♣, 6♣ [K♥]",2023-08-02T23:31:13.958Z,169101907395800
"""BEEP @ 9gQ_8P10M1"" calls 60",2023-08-02T23:31:13.148Z,169101907314800
"""damo @ VUdv-wN0K4"" calls 60",2023-08-02T23:31:11.838Z,169101907183800
"""flypto @ 7TP78l9kGR"" bets 60",2023-08-02T23:31:10.377Z,169101907037700
"""BEEP @ 9gQ_8P10M1"" checks",2023-08-02T23:31:07.754Z,169101906775400
"Flop:  [Q♦, 9♣, 6♣]",2023-08-02T23:31:03.346Z,169101906334600
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:31:02.521Z,169101906252100
"""BEEP @ 9gQ_8P10M1"" calls 80",2023-08-02T23:31:00.078Z,169101906007800
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:30:58.096Z,169101905809600
"""flypto @ 7TP78l9kGR"" posts a big blind of 20",2023-08-02T23:30:56.019Z,169101905601906
"""BEEP @ 9gQ_8P10M1"" posts a small blind of 10",2023-08-02T23:30:56.019Z,169101905601905
"Your hand is 9♦, 2♣",2023-08-02T23:30:56.019Z,169101905601902
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1188) | #5 ""damo @ VUdv-wN0K4"" (5342) | #8 ""BEEP @ 9gQ_8P10M1"" (1450)",2023-08-02T23:30:56.019Z,169101905601901
"-- starting hand #1633 (id: ykgotykfsnmk)  (No Limit Texas Hold'em) (dealer: ""damo @ VUdv-wN0K4"") --",2023-08-02T23:30:56.019Z,169101905601900
"-- ending hand #1632 --",2023-08-02T23:30:50.016Z,169101905001604
"""flypto @ 7TP78l9kGR"" shows a 10♥, 9♦.",2023-08-02T23:30:50.016Z,169101905001603
"""BEEP @ 9gQ_8P10M1"" collected 1450 from pot with Three of a Kind, J's (combination: J♦, J♥, J♣, Q♥, 5♠)",2023-08-02T23:30:50.016Z,169101905001602
"""BEEP @ 9gQ_8P10M1"" shows a 5♠, J♦.",2023-08-02T23:30:50.016Z,169101905001601
"Uncalled bet of 725 returned to ""flypto @ 7TP78l9kGR""",2023-08-02T23:30:50.016Z,169101905001600
"""damo @ VUdv-wN0K4"" folds",2023-08-02T23:30:49.209Z,169101904920900
"""flypto @ 7TP78l9kGR"" raises to 925",2023-08-02T23:30:48.225Z,169101904822500
"""BEEP @ 9gQ_8P10M1"" bets 200 and go all in",2023-08-02T23:30:44.882Z,169101904488200
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:30:42.665Z,169101904266500
"River: J♥, Q♥, 2♣, 3♠ [J♣]",2023-08-02T23:30:41.190Z,169101904119000
"""damo @ VUdv-wN0K4"" calls 200",2023-08-02T23:30:40.366Z,169101904036600
"""flypto @ 7TP78l9kGR"" calls 200",2023-08-02T23:30:39.285Z,169101903928500
"""BEEP @ 9gQ_8P10M1"" bets 200",2023-08-02T23:30:38.332Z,169101903833200
"""damo @ VUdv-wN0K4"" checks",2023-08-02T23:30:33.973Z,169101903397300
"Turn: J♥, Q♥, 2♣ [3♠]",2023-08-02T23:30:32.257Z,169101903225700
"""flypto @ 7TP78l9kGR"" calls 90",2023-08-02T23:30:31.405Z,169101903140500
"""BEEP @ 9gQ_8P10M1"" calls 90",2023-08-02T23:30:27.206Z,169101902720600
"""damo @ VUdv-wN0K4"" bets 90",2023-08-02T23:30:25.870Z,169101902587000
"Flop:  [J♥, Q♥, 2♣]",2023-08-02T23:30:22.975Z,169101902297500
"""flypto @ 7TP78l9kGR"" calls 60",2023-08-02T23:30:22.158Z,169101902215800
"""BEEP @ 9gQ_8P10M1"" calls 60",2023-08-02T23:30:20.176Z,169101902017600
"""damo @ VUdv-wN0K4"" raises to 60",2023-08-02T23:30:18.497Z,169101901849700
"""flypto @ 7TP78l9kGR"" calls 20",2023-08-02T23:30:16.239Z,169101901623900
"""BEEP @ 9gQ_8P10M1"" posts a big blind of 20",2023-08-02T23:30:11.432Z,169101901143206
"""damo @ VUdv-wN0K4"" posts a small blind of 10",2023-08-02T23:30:11.432Z,169101901143205
"Your hand is 10♥, 9♦",2023-08-02T23:30:11.432Z,169101901143202
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1738) | #5 ""damo @ VUdv-wN0K4"" (5692) | #8 ""BEEP @ 9gQ_8P10M1"" (550)",2023-08-02T23:30:11.432Z,169101901143201
"-- starting hand #1632 (id: xgzu30pr73jj)  (No Limit Texas Hold'em) (dealer: ""flypto @ 7TP78l9kGR"") --",2023-08-02T23:30:11.432Z,169101901143200
"""damo @ VUdv-wN0K4"" shows a 7♠, Q♠.",2023-08-02T23:30:10.042Z,169101901004200
"""flypto @ 7TP78l9kGR"" shows a A♣, J♥.",2023-08-02T23:30:07.484Z,169101900748400
"Undealt cards:  [2♣, J♠, A♦, 8♥, 9♣]",2023-08-02T23:30:05.511Z,169101900551100
"-- ending hand #1631 --",2023-08-02T23:30:04.111Z,169101900411102
"""flypto @ 7TP78l9kGR"" collected 40 from pot",2023-08-02T23:30:04.111Z,169101900411101
"Uncalled bet of 1698 returned to ""flypto @ 7TP78l9kGR""",2023-08-02T23:30:04.111Z,169101900411100
"""damo @ VUdv-wN0K4"" folds",2023-08-02T23:30:03.299Z,169101900329900
"""flypto @ 7TP78l9kGR"" raises to 1718 and go all in",2023-08-02T23:30:01.150Z,169101900115000
"""BEEP @ 9gQ_8P10M1"" folds",2023-08-02T23:29:59.244Z,169101899924400
"""damo @ VUdv-wN0K4"" posts a big blind of 20",2023-08-02T23:29:56.177Z,169101899617706
